Fecha,Predicciones
1/8/2013,865.70
1/9/2013,976.25
1/10/2013,995.42
1/11/2013,1015.94
1/12/2013,293.05
1/13/2013,2.45
1/14/2013,573.74
1/15/2013,865.70
1/16/2013,976.25
1/17/2013,995.42
1/18/2013,1015.94
1/19/2013,293.05
1/20/2013,2.45
1/21/2013,573.74
1/22/2013,865.70
1/23/2013,976.25
1/24/2013,995.42
1/25/2013,1015.94
1/26/2013,293.05
1/27/2013,2.45
1/28/2013,573.74
1/29/2013,865.70
1/30/2013,976.25
1/31/2013,995.42
2/1/2013,1263.86
2/2/2013,364.56
2/3/2013,3.05
2/4/2013,713.75
2/5/2013,1076.96
2/6/2013,1214.48
2/7/2013,1238.33
2/8/2013,1263.86
2/9/2013,364.56
2/10/2013,3.05
2/11/2013,713.75
2/12/2013,1076.96
2/13/2013,1214.48
2/14/2013,1238.33
2/15/2013,1263.86
2/16/2013,364.56
2/17/2013,3.05
2/18/2013,713.75
2/19/2013,1076.96
2/20/2013,1214.48
2/21/2013,1238.33
2/22/2013,1263.86
2/23/2013,364.56
2/24/2013,3.05
2/25/2013,713.75
2/26/2013,1076.96
2/27/2013,1214.48
2/28/2013,1238.33
3/1/2013,1252.58
3/2/2013,361.31
3/3/2013,3.02
3/4/2013,707.38
3/5/2013,1067.35
3/6/2013,1203.64
3/7/2013,1227.29
3/8/2013,1252.58
3/9/2013,361.31
3/10/2013,3.02
3/11/2013,707.38
3/12/2013,1067.35
3/13/2013,1203.64
3/14/2013,1227.29
3/15/2013,1252.58
3/16/2013,361.31
3/17/2013,3.02
3/18/2013,707.38
3/19/2013,1067.35
3/20/2013,1203.64
3/21/2013,1227.29
3/22/2013,1252.58
3/23/2013,361.31
3/24/2013,3.02
3/25/2013,707.38
3/26/2013,1067.35
3/27/2013,1203.64
3/28/2013,1227.29
3/29/2013,1252.58
3/30/2013,361.31
3/31/2013,3.02
4/1/2013,683.23
4/2/2013,1030.92
4/3/2013,1162.56
4/4/2013,1185.39
4/5/2013,1209.83
4/6/2013,348.98
4/7/2013,2.92
4/8/2013,683.23
4/9/2013,1030.92
4/10/2013,1162.56
4/11/2013,1185.39
4/12/2013,1209.83
4/13/2013,348.98
4/14/2013,2.92
4/15/2013,683.23
4/16/2013,1030.92
4/17/2013,1162.56
4/18/2013,1185.39
4/19/2013,1209.83
4/20/2013,348.98
4/21/2013,2.92
4/22/2013,683.23
4/23/2013,1030.92
4/24/2013,1162.56
4/25/2013,1185.39
4/26/2013,1209.83
4/27/2013,348.98
4/28/2013,2.92
4/29/2013,683.23
4/30/2013,1030.92
5/1/2013,1170.11
5/2/2013,1193.09
5/3/2013,1217.69
5/4/2013,351.24
5/5/2013,2.94
5/6/2013,687.67
5/7/2013,1037.61
5/8/2013,1170.11
5/9/2013,1193.09
5/10/2013,1217.69
5/11/2013,351.24
5/12/2013,2.94
5/13/2013,687.67
5/14/2013,1037.61
5/15/2013,1170.11
5/16/2013,1193.09
5/17/2013,1217.69
5/18/2013,351.24
5/19/2013,2.94
5/20/2013,687.67
5/21/2013,1037.61
5/22/2013,1170.11
5/23/2013,1193.09
5/24/2013,1217.69
5/25/2013,351.24
5/26/2013,2.94
5/27/2013,687.67
5/28/2013,1037.61
5/29/2013,1170.11
5/30/2013,1193.09
5/31/2013,1217.69
6/1/2013,345.39
6/2/2013,2.89
6/3/2013,676.21
6/4/2013,1020.32
6/5/2013,1150.61
6/6/2013,1173.21
6/7/2013,1197.39
6/8/2013,345.39
6/9/2013,2.89
6/10/2013,676.21
6/11/2013,1020.32
6/12/2013,1150.61
